district,area,latitude,longitude
Dhaka,Gulshan 2,23.79540601,90.41430464
Dhaka,Gulshan 1,23.78048256,90.41673562
Dhaka,Banani Kamal Ataturk,23.79399053,90.40729658
Dhaka,Tejgaon I/A,23.76581744,90.4054751
Dhaka,Motijheel Shapla Chattar,23.72759252,90.42156005
Dhaka,Wari,23.71738574,90.41782226
Dhaka,Uttara House Builing,23.87467724,90.40042091
Dhaka,Mohammadpur,23.76625867,90.35888739
Dhaka,Karwanbazar,23.75167487,90.39425659
Dhaka,Mirpur 10,23.80716006,90.36880508
Dhaka,Mirpur 12,23.82963692,90.36440954
Dhaka,Bashundhara R/A,23.82029295,90.45260404
Dhaka,Badda,23.78065694,90.42667558
Dhaka,Rampura,23.7613723,90.42073159
Dhaka,Mohakhali DOHS,23.78281993,90.39552774
Dhaka,Uttara Rajlakkhi,23.86444926,90.39951904
Dhaka,Greenroad,23.75362363,90.38615464
Dhaka,Dhanmondi 27,23.7519682,90.36763962
